case,case_group,method,sample_count,q_median,q_p95,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
novatel_ramp,controlled_fault,selected_member_marginal,284,2.4866057899371725,29.320833776877247,4633.986298611731,0.47183098591549294,0.6690140845070423,0.6971830985915493,0.7852112676056338
ublox_f9p_step,controlled_fault,proposed_envelope,142,0.2503896629126917,1.275697922416745,61343.920686605095,0.9929577464788732,1.0,1.0,1.0
ublox_f9p_step,controlled_fault,same_subset_cu,142,0.32311150481175877,1.3655013242207568,59584.07603479488,0.9929577464788732,1.0,1.0,1.0
ublox_f9p_step,controlled_fault,same_subset_ci,142,2.1972294586803836,187.15332887141147,3469.779425725472,0.5070422535211268,0.5704225352112676,0.5704225352112676,0.6056338028169014
ublox_f9p_step,controlled_fault,independence_average,142,0.9359598576155146,46.71321592184457,9816.453165941848,0.6197183098591549,0.7887323943661971,0.8380281690140845,0.852112676056338
ublox_f9p_step,controlled_fault,marginal_average,142,0.4679799288077573,23.356607960922286,27765.122403350528,0.7535211267605634,0.852112676056338,0.8661971830985915,0.8661971830985915
ublox_f9p_step,controlled_fault,selected_member_marginal,284,0.6315882253331646,144.90089635995184,16394.354962900066,0.7464788732394366,0.7852112676056338,0.7852112676056338,0.8028169014084507
ublox_f9p_ramp,controlled_fault,proposed_envelope,142,0.46906019303444724,1.5424291722618844,56832.16548438487,0.9929577464788732,1.0,1.0,1.0
ublox_f9p_ramp,controlled_fault,same_subset_cu,142,0.40414244012309897,1.689061669434136,47566.66449740894,0.9929577464788732,1.0,1.0,1.0
ublox_f9p_ramp,controlled_fault,same_subset_ci,142,11.844943394331997,76.67067983622387,2088.0387181689302,0.3028169014084507,0.39436619718309857,0.4014084507042254,0.47183098591549294
ublox_f9p_ramp,controlled_fault,independence_average,142,2.5232733651500507,15.078201850151252,7123.296253198275,0.4859154929577465,0.7605633802816901,0.8450704225352113,0.9225352112676056
ublox_f9p_ramp,controlled_fault,marginal_average,142,1.2616366825750254,7.539100925075626,20147.72434014891,0.704225352112676,0.9366197183098591,0.9507042253521126,0.9647887323943662
ublox_f9p_ramp,controlled_fault,selected_member_marginal,284,0.8076543510344345,43.54757552095867,6855.948307193122,0.6514084507042254,0.6971830985915493,0.7007042253521126,0.7359154929577465
ublox_m8t_step,controlled_fault,proposed_envelope,142,0.296865997062972,1.4024112826343227,39119.5046123841,1.0,1.0,1.0,1.0
ublox_m8t_step,controlled_fault,same_subset_cu,142,0.2533466172947319,1.4259839226609947,38762.90832495491,1.0,1.0,1.0,1.0
ublox_m8t_step,controlled_fault,same_subset_ci,142,4.3445460908861975,24.248828146951443,1887.666817753535,0.323943661971831,0.5915492957746479,0.6267605633802817,0.7394366197183099
ublox_m8t_step,controlled_fault,independence_average,142,1.1548676845561876,4.974569020375918,5573.84388319347,0.676056338028169,0.9788732394366197,1.0,1.0
